Count_C1DNANuclei,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ColorToGray,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08MeasureObjectIntensity,FileName_C1illum,FileName_C2illum,FileName_C3illum,FileName_raw,ImageNumber,Metadata_XY,Metadata_basename,Scaling_raw,Threshold_FinalThreshold_C1DNANuclei
10.0,0,0.0,3.08,0,0.15999999999999925,0.16999999999999993,1.2100000000000009,0.5400000000000009,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0001.tif,1,1,Atr+C Day2,65535,0.01
7.0,0,0.0,4.629999999999999,0,0.5600000000000005,0.6400000000000006,2.8100000000000023,1.309999999999997,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0002.tif,2,2,Atr+C Day2,65535,0.01
7.0,0,0.0,4.39,0,0.5199999999999996,0.6399999999999988,2.9399999999999995,1.3199999999999985,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0003.tif,3,3,Atr+C Day2,65535,0.01
10.0,0,0.0,4.58,0,0.5300000000000011,0.4399999999999995,2.730000000000002,1.3299999999999983,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0004.tif,4,4,Atr+C Day2,65535,0.01
16.0,0,0.0,4.579999999999999,0,0.47000000000000064,0.5899999999999999,2.889999999999999,1.3099999999999987,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0005.tif,5,5,Atr+C Day2,65535,0.01
15.0,0,0.0,4.629999999999999,0,0.47999999999999865,0.6099999999999994,2.7300000000000004,1.3100000000000005,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0006.tif,6,6,Atr+C Day2,65535,0.01
13.0,0,0.0,4.630000000000001,0,0.5500000000000007,0.6199999999999974,2.900000000000002,1.309999999999997,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0007.tif,7,7,Atr+C Day2,65535,0.01
10.0,0,0.0,4.29,0,0.4800000000000004,0.5800000000000001,2.6500000000000004,1.33,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0008.tif,8,8,Atr+C Day2,65535,0.01
14.0,0,0.0,1.709999999999999,0,0.4499999999999993,0.5,1.5600000000000005,0.5500000000000007,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0009.tif,9,9,Atr+C Day2,65535,0.01
15.0,0,0.0,1.5899999999999999,0,0.41999999999999815,0.5399999999999991,1.6400000000000006,1.1999999999999993,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0010.tif,10,10,Atr+C Day2,65535,0.01
8.0,0,0.0,1.3399999999999963,0,0.33999999999999986,0.28000000000000114,1.3199999999999967,0.639999999999997,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0011.tif,11,11,Atr+C Day2,65535,0.01
9.0,0,0.0,2.1799999999999997,0,0.3099999999999987,0.43000000000000327,2.5599999999999987,1.0999999999999979,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0012.tif,12,12,Atr+C Day2,65535,0.01
11.0,0,0.0,2.2099999999999973,0,0.5400000000000027,0.6699999999999982,3.0,1.1499999999999986,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0013.tif,13,13,Atr+C Day2,65535,0.01
13.0,0,0.0,2.3500000000000014,0,0.3000000000000007,0.39000000000000057,2.5199999999999996,1.1000000000000014,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0014.tif,14,14,Atr+C Day2,65535,0.01
14.0,0,0.0,2.5499999999999936,0,0.519999999999996,0.620000000000001,3.2900000000000027,1.1799999999999997,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0015.tif,15,15,Atr+C Day2,65535,0.01
3.0,0,0.0,2.360000000000003,0,0.5299999999999976,0.629999999999999,2.6099999999999994,1.0300000000000011,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0016.tif,16,16,Atr+C Day2,65535,0.01
7.0,0,0.0,2.669999999999998,0,0.5500000000000007,0.6400000000000006,2.889999999999997,1.149999999999995,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0017.tif,17,17,Atr+C Day2,65535,0.01
7.0,0,0.0,2.6799999999999997,0,0.5899999999999999,0.6500000000000021,3.1499999999999986,1.120000000000001,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0018.tif,18,18,Atr+C Day2,65535,0.01
10.0,0,0.0,1.5800000000000054,0,0.25,0.23999999999999488,1.2800000000000082,0.5699999999999932,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0019.tif,19,19,Atr+C Day2,65535,0.01
8.0,0,0.0,1.1900000000000048,0,0.35999999999999943,0.4200000000000017,2.740000000000002,1.25,Atr+C Day2_XY0100C1illum.tiff,Atr+C Day2_XY0100C2illum.tiff,Atr+C Day2_XY0100C3illum.tiff,Atr+C Day2_XY0020.tif,20,20,Atr+C Day2,65535,0.01
