ImageNumber,ObjectNumber,Class,Cells_Number_Object_Number,Cells_Children_Cytoplasm_Count,Cells_Location_Center_X,Cells_Location_Center_Y,Cells_Location_Center_Z,Cells_Parent_Nuclei,Cytoplasm_Number_Object_Number,Cytoplasm_Correlation_Correlation_rawGFP_rawDNA,Cytoplasm_Correlation_Costes_rawDNA_rawGFP,Cytoplasm_Correlation_Costes_rawGFP_rawDNA,Cytoplasm_Correlation_K_rawDNA_rawGFP,Cytoplasm_Correlation_K_rawGFP_rawDNA,Cytoplasm_Correlation_Manders_rawDNA_rawGFP,Cytoplasm_Correlation_Manders_rawGFP_rawDNA,Cytoplasm_Correlation_Overlap_rawGFP_rawDNA,Cytoplasm_Correlation_RWC_rawDNA_rawGFP,Cytoplasm_Correlation_RWC_rawGFP_rawDNA,Cytoplasm_Intensity_IntegratedIntensityEdge_rawGFP,Cytoplasm_Intensity_IntegratedIntensity_rawGFP,Cytoplasm_Intensity_LowerQuartileIntensity_rawGFP,Cytoplasm_Intensity_MADIntensity_rawGFP,Cytoplasm_Intensity_MassDisplacement_rawGFP,Cytoplasm_Intensity_MaxIntensityEdge_rawGFP,Cytoplasm_Intensity_MaxIntensity_rawGFP,Cytoplasm_Intensity_MeanIntensityEdge_rawGFP,Cytoplasm_Intensity_MeanIntensity_rawGFP,Cytoplasm_Intensity_MedianIntensity_rawGFP,Cytoplasm_Intensity_MinIntensityEdge_rawGFP,Cytoplasm_Intensity_MinIntensity_rawGFP,Cytoplasm_Intensity_StdIntensityEdge_rawGFP,Cytoplasm_Intensity_StdIntensity_rawGFP,Cytoplasm_Intensity_UpperQuartileIntensity_rawGFP,Cytoplasm_Location_CenterMassIntensity_X_rawGFP,Cytoplasm_Location_CenterMassIntensity_Y_rawGFP,Cytoplasm_Location_CenterMassIntensity_Z_rawGFP,Cytoplasm_Location_Center_X,Cytoplasm_Location_Center_Y,Cytoplasm_Location_MaxIntensity_X_rawGFP,Cytoplasm_Location_MaxIntensity_Y_rawGFP,Cytoplasm_Location_MaxIntensity_Z_rawGFP,Cytoplasm_Math_IntensityRatio,Cytoplasm_Parent_Cells,Cytoplasm_Parent_Nuclei,Nuclei_Number_Object_Number,Nuclei_Children_Cells_Count,Nuclei_Children_Cytoplasm_Count,Nuclei_Correlation_Correlation_rawGFP_rawDNA,Nuclei_Correlation_Costes_rawDNA_rawGFP,Nuclei_Correlation_Costes_rawGFP_rawDNA,Nuclei_Correlation_K_rawDNA_rawGFP,Nuclei_Correlation_K_rawGFP_rawDNA,Nuclei_Correlation_Manders_rawDNA_rawGFP,Nuclei_Correlation_Manders_rawGFP_rawDNA,Nuclei_Correlation_Overlap_rawGFP_rawDNA,Nuclei_Correlation_RWC_rawDNA_rawGFP,Nuclei_Correlation_RWC_rawGFP_rawDNA,Nuclei_Intensity_IntegratedIntensityEdge_rawGFP,Nuclei_Intensity_IntegratedIntensity_rawGFP,Nuclei_Intensity_LowerQuartileIntensity_rawGFP,Nuclei_Intensity_MADIntensity_rawGFP,Nuclei_Intensity_MassDisplacement_rawGFP,Nuclei_Intensity_MaxIntensityEdge_rawGFP,Nuclei_Intensity_MaxIntensity_rawGFP,Nuclei_Intensity_MeanIntensityEdge_rawGFP,Nuclei_Intensity_MeanIntensity_rawGFP,Nuclei_Intensity_MedianIntensity_rawGFP,Nuclei_Intensity_MinIntensityEdge_rawGFP,Nuclei_Intensity_MinIntensity_rawGFP,Nuclei_Intensity_StdIntensityEdge_rawGFP,Nuclei_Intensity_StdIntensity_rawGFP,Nuclei_Intensity_UpperQuartileIntensity_rawGFP,Nuclei_Location_CenterMassIntensity_X_rawGFP,Nuclei_Location_CenterMassIntensity_Y_rawGFP,Nuclei_Location_CenterMassIntensity_Z_rawGFP,Nuclei_Location_Center_X,Nuclei_Location_Center_Y,Nuclei_Location_Center_Z,Nuclei_Location_MaxIntensity_X_rawGFP,Nuclei_Location_MaxIntensity_Y_rawGFP,Nuclei_Location_MaxIntensity_Z_rawGFP,Nuclei_Math_IntensityRatio
21,114,positive,114.0,1.0,163.197553517,429.351681957,0.0,114.0,114.0,0.716471006292,1.0,0.926694498813,0.205523687735,4.18116551792,0.921320042989,0.461896322245,0.926999760666,0.695481074082,0.360011975562,7.59215710312,31.9372559963,0.0117647061124,0.00392156932503,1.23124641476,0.149019613862,0.149019613862,0.0254770372588,0.0215501052606,0.0156862754375,0.0117647061124,0.00784313771874,0.0253724975422,0.0145269180252,0.0235294122249,164.183693515,428.535977417,0.0,163.746288799,429.686909582,150.0,423.0,0.0,5.57518962684,114.0,114.0,114.0,1.0,1.0,0.819862995778,1.0,1.0,0.181112481301,5.27262461364,0.984388988175,0.99755538581,0.977209356662,0.367350013081,0.394328854303,2.61176479235,25.8313735109,0.0862745121121,0.0196078419685,0.812920416112,0.133333340287,0.176470592618,0.0522352958471,0.120145923306,0.141176477075,0.0156862754375,0.0156862754375,0.0294868596856,0.0476747237733,0.156862750649,157.071959919,426.182936085,0.0,157.88372093,426.139534884,0.0,152.0,424.0,0.0,5.57518962684
15,114,positive,114.0,1.0,502.293209877,461.229423868,0.0,114.0,114.0,0.911029272563,0.995906573585,0.969789740989,2.02070393643,0.449700006754,0.913246418881,0.949545596912,0.953263118904,0.739910125945,0.746685360126,22.9921576725,67.8901980799,0.0196078438312,0.0156862735748,9.48271979778,0.556862771511,0.556862771511,0.145519985269,0.0796833310797,0.0313725508749,0.00784313771874,0.00784313771874,0.178649355006,0.112170966865,0.0862745121121,498.707717194,454.566543447,0.0,502.910798122,463.066901408,498.0,441.0,0.0,6.17752802102,114.0,114.0,114.0,1.0,1.0,0.695438591356,1.0,1.0,1.62602529723,0.591037433891,1.0,1.0,0.980327404041,0.758079699865,0.741808149472,14.8039219901,86.6352978572,0.498039215803,0.00784313678741,0.458788336696,0.556862771511,0.572549045086,0.352474333098,0.492246010552,0.549019634724,0.121568627656,0.121568627656,0.15615199585,0.120494336792,0.556862771511,497.45102299,448.089127289,0.0,497.880681818,448.25,0.0,502.0,449.0,0.0,6.17752802102
23,112,positive,112.0,1.0,393.904473086,248.503411676,0.0,112.0,112.0,0.859510362448,1.0,0.962772737105,1.27304977321,0.680956683596,0.993612128354,0.736187781606,0.931070218414,0.87879750779,0.624700646137,27.3960791286,104.60392434,0.0392156876624,0.0313725508749,1.10044455009,0.392156869173,0.392156869173,0.129226788342,0.0982196472673,0.0666666701436,0.0117647061124,0.00784313771874,0.133328311273,0.0939449437059,0.109803922474,393.015033361,248.672227625,0.0,393.812206573,247.913615023,400.0,259.0,0.0,3.5518353685,112.0,112.0,112.0,1.0,1.0,0.467645570299,1.0,1.0,0.746953711461,1.24616571381,1.0,1.0,0.96479433302,0.874232054031,0.882996586494,20.6862750202,120.007845864,0.360784322023,0.0,0.228607019382,0.364705890417,0.392156869173,0.291355986201,0.348860017046,0.364705890417,0.133333340287,0.133333340287,0.0894095237555,0.0504468165382,0.364705890417,394.02293968,250.913175608,0.0,394.25,250.886627907,0.0,400.0,253.0,0.0,3.5518353685
21,131,positive,131.0,1.0,169.466935484,475.579032258,0.0,131.0,131.0,0.903056119846,1.0,0.988807309536,1.40920847805,0.626189807015,0.968366813951,0.885038795529,0.939378509929,0.834967569186,0.730881862698,20.4078439707,120.176474828,0.0274509806186,0.0352941192687,5.71352269505,0.517647087574,0.517647087574,0.128351219941,0.101930852272,0.0666666701436,0.0117647061124,0.00784313771874,0.168244552948,0.130056549492,0.0980392172933,173.196867319,479.581432598,0.0,169.301102629,475.402035623,170.0,474.0,0.0,4.48948387226,131.0,131.0,131.0,1.0,1.0,0.614183847081,1.0,1.0,1.32940388205,0.720346032156,1.0,1.0,0.978586128843,0.832106526798,0.81573123623,13.0588242263,47.5921594054,0.509803950787,0.0,0.480697108128,0.517647087574,0.517647087574,0.384083065478,0.457616917359,0.51372551918,0.1254902035,0.1254902035,0.170799416259,0.120569635565,0.51372551918,172.267798277,479.206410677,0.0,172.701923077,479.0,0.0,172.0,481.0,0.0,4.48948387226
8,86,positive,86.0,1.0,288.617771509,253.898448519,0.0,86.0,86.0,0.844138969951,1.0,0.983909499469,1.72496736298,0.471809706047,0.875042273032,0.973450443728,0.902139869681,0.707971881061,0.732932767746,20.3803924099,55.8117656065,0.0235294122249,0.0156862754375,7.15467301793,0.498039215803,0.498039215803,0.142520226642,0.0901644032415,0.0392156876624,0.0117647061124,0.00784313771874,0.174142886062,0.134020526258,0.0627451017499,285.201377222,258.70699826,0.0,289.124394184,252.723747981,280.0,257.0,0.0,5.10577604493,86.0,86.0,86.0,1.0,1.0,0.495506267026,1.0,1.0,1.64582173832,0.593678592654,1.0,1.0,0.988478190635,0.771014587827,0.761283533194,15.5411766246,65.8313727751,0.490196079016,0.0,0.246276654739,0.498039215803,0.498039215803,0.388529415615,0.460359250176,0.490196079016,0.101960785687,0.101960785687,0.119609086334,0.0789139596053,0.494117647409,284.863048796,262.088461307,0.0,285.104895105,262.041958042,0.0,280.0,257.0,0.0,5.10577604493
21,70,positive,70.0,1.0,413.910187668,277.98458445,0.0,70.0,70.0,0.499835314855,1.0,0.984910836731,0.2811434204,2.36914662314,0.748257840242,0.543693408413,0.816131107764,0.646167535189,0.493118925922,6.8352943277,28.5882362463,0.0117647061124,0.00392156932503,1.79974391528,0.129411771894,0.129411771894,0.0253159049174,0.0216906193067,0.0156862754375,0.0117647061124,0.00784313771874,0.0246812794583,0.0153403744554,0.0235294122249,416.536488347,279.682716059,0.0,415.026555387,278.703338392,398.0,277.0,0.0,6.01664075057,70.0,70.0,70.0,1.0,1.0,0.862435768276,1.0,1.0,0.381166231964,2.5219767659,0.94445199552,1.0,0.980455190694,0.71767165437,0.766757558634,2.20392163098,31.8431380223,0.0627451017499,0.0392156839371,0.489141890595,0.1254902035,0.223529413342,0.044977992469,0.130504664026,0.160784319043,0.0196078438312,0.0196078438312,0.0232894540528,0.0628389744234,0.184313729405,405.035714292,272.73312808,0.0,405.508196721,272.606557377,0.0,401.0,276.0,0.0,6.01664075057
19,47,positive,47.0,1.0,225.58493353,192.113737075,0.0,47.0,47.0,0.894274047025,1.0,0.942119127643,2.34472680791,0.381651457639,0.683662398945,0.963986494861,0.945974843218,0.586269705077,0.805413005124,12.54902001,53.5921585616,0.0156862754375,0.00784313771874,1.70558562773,0.349019616842,0.349019616842,0.0674678495164,0.0436773908407,0.0196078438312,0.0117647061124,0.00784313771874,0.107398214438,0.0625291663411,0.0352941192687,226.82555245,191.617956979,0.0,225.202933985,192.143439283,228.0,198.0,0.0,7.11845157161,47.0,47.0,47.0,1.0,1.0,0.700639573635,1.0,1.0,2.45511818055,0.400450456963,1.0,1.0,0.991540819785,0.772684414627,0.768008903367,10.6980395764,58.1411782056,0.286274522543,0.0352941155434,0.239727227695,0.329411774874,0.407843142748,0.2431372631,0.310915391474,0.321568638086,0.156862750649,0.156862750649,0.0516952523006,0.0558803602205,0.352941185236,229.08478348,191.917374869,0.0,229.288770053,191.79144385,0.0,229.0,192.0,0.0,7.11845157161
9,97,positive,97.0,1.0,456.321715818,351.060768543,0.0,97.0,97.0,0.899531583805,0.999736703521,0.991799585354,0.699097744566,1.28035586751,0.881359601467,0.816189324404,0.9460940224,0.768126094651,0.727521025953,13.666667006,43.5176483174,0.0117647061124,0.0117647061124,5.55510277473,0.337254911661,0.337254911661,0.0818363293771,0.0453781525729,0.0235294122249,0.00784313771874,0.00392156885937,0.0941397113207,0.0582506838534,0.0509803928435,451.573217975,349.529692744,0.0,456.455683003,352.179353493,448.0,352.0,0.0,5.54375135262,97.0,97.0,97.0,1.0,1.0,0.714420020076,1.0,1.0,0.621834045336,1.57050406931,1.0,1.0,0.988227149312,0.88632645037,0.892834504086,10.086274758,57.3568643928,0.223529413342,0.0313725471497,0.613467590477,0.337254911661,0.364705890417,0.20172549516,0.251565194705,0.250980407,0.0666666701436,0.0666666701436,0.0665981673191,0.0539545101047,0.286274522543,454.936277847,344.613086294,0.0,455.504385965,344.381578947,0.0,450.0,350.0,0.0,5.54375135262
2,28,positive,28.0,1.0,555.317851959,124.046444122,0.0,28.0,28.0,0.946638219362,1.0,0.998511261574,1.79902291714,0.534049992139,0.838251742463,0.995055975428,0.980187826265,0.683732299556,0.795401022827,26.9960790221,81.6588255437,0.0470588244498,0.0470588244498,6.27358267872,0.533333361149,0.533333361149,0.191461553348,0.155244915482,0.0784313753247,0.00784313771874,0.00784313771874,0.167344349057,0.141860663204,0.298039227724,551.832204793,127.420496539,0.0,555.979087452,122.712927757,557.0,120.0,0.0,2.70825119329,28.0,28.0,28.0,1.0,1.0,0.363031235007,1.0,1.0,1.62829116035,0.59497374818,1.0,1.0,0.984271555415,0.791379262801,0.781055508893,19.9647063017,98.8039234877,0.384313732386,0.0392156839371,0.0687351177372,0.501960813999,0.552941203117,0.37669257173,0.420442227607,0.419607847929,0.270588248968,0.270588248968,0.0462466284055,0.0596566591205,0.463725492358,553.227664226,128.220480231,0.0,553.204255319,128.285106383,0.0,551.0,126.0,0.0,2.70825119329
15,110,positive,110.0,1.0,627.622107969,427.755784062,0.0,110.0,110.0,0.938253696042,1.0,0.998323888568,3.44660322964,0.272258642981,0.86657303296,0.991437954311,0.968693717433,0.508917873568,0.541698490603,27.2039222401,49.1333345529,0.0666666701436,0.0313725471497,5.17539112325,0.86274510622,0.86274510622,0.295694806957,0.164876961587,0.0862745121121,0.0274509806186,0.0235294122249,0.254620519843,0.187367012635,0.156862750649,624.367946391,426.657674205,0.0,629.275167785,428.302013423,620.0,422.0,0.0,4.30915897464,110.0,110.0,110.0,1.0,1.0,0.787715317284,1.0,1.0,3.10988965799,0.31170578434,1.0,1.0,0.984566196381,0.426719645249,0.412372375372,19.5490200669,98.7568643838,0.601960808039,0.127450972795,0.488221730062,0.86274510622,0.984313726425,0.501256924791,0.710481038732,0.758823543787,0.172549024224,0.172549024224,0.180481482927,0.194098581453,0.870588243008,621.679347198,425.933169198,0.0,622.165467626,425.978417266,0.0,619.0,429.0,0.0,4.30915897464
